番号,元信号,観測信号d(n),疑似エコーy(n),誤差,誤差10log10(e^2),,,
115,-0.70289,-0.492969,-0.378453,-0.114516,-18.822708,,,376.295
116,1.604062,1.643715,1.739939,-0.096224,-20.334311,,,522.216
117,-1.417418,-0.178823,0.056353,-0.235177,-12.572118,,,1447.958
118,0.46428,0.446551,0.570812,-0.124262,-18.113264,,,-356.215
119,-0.159465,-0.661434,-0.734505,0.073071,-22.725058,,,-198.237
120,0.407292,-0.158992,-0.327818,0.168826,-15.451194,,,87.071
121,0.542648,1.150612,0.999666,0.150947,-16.423537,,,-1109.719
122,-1.63408,-1.495797,-1.429218,-0.066579,-23.533225,,,-224.43
123,-0.621493,0.835402,0.890387,-0.054985,-25.195079,,,788.49
124,1.001955,-0.383863,-0.37278,-0.011083,-39.10703,,,-617.291
125,0.353013,0.500496,0.509599,-0.009102,-40.817134,,,691.398
126,0.889879,0.041486,-0.028212,0.069698,-23.135535,,,525.882
127,-0.359216,-1.452877,-1.497455,0.044578,-27.017515,,,1120.994
128,0.331781,0.379773,0.421829,-0.042056,-27.523463,,,1354.216
129,0.575187,0.815869,1.019121,-0.203251,-13.839331,,,-2429.65
130,-0.948475,-0.143308,-0.341722,0.198414,-14.048536,,,-688.535
131,-0.197741,0.502945,0.54037,-0.037425,-28.536753,,,-155.601
132,0.023189,-0.549441,-0.650981,0.101541,-19.867207,,,2179.201
133,-1.419675,0.411702,0.488808,-0.077106,-22.258235,,,-308.859
134,-0.738069,0.092175,0.114199,-0.022024,-33.142003,,,-737.16
135,-1.424102,-0.890403,-0.823921,-0.066482,-23.54586,,,1653.11
136,1.209731,0.196126,0.020748,0.175377,-15.120539,,,-255.019
137,1.156492,0.019908,-0.050398,0.070306,-23.060155,,,687.464
138,1.759072,-1.199005,-1.239988,0.040983,-27.747937,,,247.916
139,0.556237,0.0384,0.181426,-0.143025,-16.891753,,,-997.723
140,0.050956,-0.951613,-1.061882,0.110269,-19.150918,,,790.29
141,-1.393674,1.623914,1.664618,-0.040703,-27.807383,,,96.823
142,0.539353,0.272232,0.220201,0.052031,-25.674711,,,158.092
143,0.184793,1.089638,1.251938,-0.162299,-15.793667,,,538.372
144,-0.863593,-0.488471,-0.418533,-0.069938,-23.105768,,,-735.138
145,0.805886,-0.018168,0.071683,-0.089851,-20.929539,,,1860.08
146,-0.139839,-1.243742,-1.360742,0.117,-18.636264,,,602.173
147,-1.984104,1.307332,1.367615,-0.060284,-24.396031,,,-408.777
148,0.204685,-0.666416,-0.777931,0.111514,-19.053377,,,1825.526
