番号,元信号,観測信号d(n),疑似エコーy(n),誤差,誤差10log10(e^2)
229,0.635889,-0.071337,0.402885,-0.474222,-6.480369
230,-1.182567,1.632624,1.297492,0.335132,-9.495681
231,-1.486062,0.860403,0.808298,0.052105,-25.662427
232,-2.872172,-0.242437,0.386681,-0.629118,-4.025361
233,-2.744501,-0.301137,-0.358278,0.057142,-24.860935
234,-5.063146,0.214386,0.130667,0.08372,-21.543452
235,-5.717019,-1.246461,-0.746323,-0.500138,-6.018202
236,-4.744455,-0.911096,-1.244615,0.333518,-9.537613
237,-4.382192,-1.831869,-1.615378,-0.216491,-13.291186
238,-3.982019,-1.347152,-1.90886,0.561708,-5.009787
239,-2.699119,-3.284111,-2.576085,-0.708026,-2.999019
240,-2.056239,-2.484299,-2.64744,0.163141,-15.748735
241,1.666289,-1.855014,-2.176864,0.32185,-9.846924
242,1.808147,-1.661497,-1.523897,-0.1376,-17.227641
243,1.245773,-1.589174,-1.788932,0.199758,-13.989937
244,0.827826,-0.686517,-0.68938,0.002864,-50.861418
245,-0.43687,-0.605228,0.077175,-0.682403,-3.31918
246,-1.541126,2.040311,0.868279,1.172032,1.378792
247,-1.104183,0.539596,0.941382,-0.401786,-7.920094
248,-0.589545,0.383516,0.433091,-0.049576,-26.0946
249,-0.299891,-0.093083,-0.21458,0.121497,-18.308703
250,0.897356,-0.472823,-0.389275,-0.083548,-21.561277
251,1.066192,-1.063182,-0.628036,-0.435146,-7.227307
252,1.293963,0.0194,-0.308614,0.328014,-9.682159
253,2.365316,-0.144845,-0.03981,-0.105035,-19.57329
254,1.386893,0.450163,0.56705,-0.116887,-18.644694
255,2.051874,0.648113,0.665286,-0.017173,-35.3033
256,2.760005,0.766721,0.86211,-0.09539,-20.40998
257,1.475387,0.694473,0.837338,-0.142865,-16.901469
258,2.166318,1.585389,1.014024,0.571365,-4.86173
259,3.313544,0.163821,1.203276,-1.039455,0.336118
260,1.849883,1.57374,1.08602,0.48772,-6.23659
261,-0.610719,1.03831,1.216751,-0.17844,-14.970142
262,-0.383088,0.575628,1.007186,-0.431559,-7.299203
263,-0.917095,1.113018,1.365318,-0.2523,-11.961658
264,-0.603438,2.091392,1.165188,0.926205,-0.665859
265,-0.467188,-0.121897,0.521006,-0.642904,-3.837082
266,-1.350456,-0.756703,-0.377467,-0.379237,-8.421789
267,0.479244,-0.103997,-0.582921,0.478925,-6.394656
268,0.862078,-0.36048,-0.192549,-0.167931,-15.497379
269,1.395379,-0.088277,-0.186984,0.098707,-20.11303
270,2.106188,-0.113513,-0.30139,0.187877,-14.522531
271,3.254686,-0.848317,-0.214908,-0.63341,-3.966306
272,1.96541,1.02754,0.399544,0.627996,-4.04086
273,3.654223,0.342324,0.588458,-0.246133,-12.176599
274,2.4998,1.125851,0.909901,0.215949,-13.31296
275,3.196338,1.150542,1.145533,0.005009,-46.005565
276,3.881001,1.904741,1.293302,0.611439,-4.272942
277,3.392557,0.489995,1.204498,-0.714504,-2.919913
278,3.340107,2.311203,1.499566,0.811637,-1.812766
279,3.443261,0.519094,1.125604,-0.60651,-4.343244
280,1.688037,1.956691,1.465426,0.491265,-6.173685
281,1.823344,1.605878,1.585947,0.019931,-34.009305
