番号,誤差,誤差10log10(e^2),白色信号
8106,0.000274,-35.615862,-2.102899
8107,0.001772,-27.515914,1.686253
8108,0.000414,-33.833539,-0.188002
8109,0.001312,-28.821986,0.912431
8110,0.001095,-29.604265,1.456322
8111,0.003565,-24.479408,1.509778
8112,0.003015,-25.207003,1.141569
8113,0.002957,-25.290770,0.931795
8114,0.000989,-30.048685,-0.110948
8115,0.001191,-29.241587,-0.744491
8116,0.000017,-47.698491,0.924302
8117,0.000001,-59.551307,0.082970
8118,0.000093,-40.302357,0.333311
8119,0.002059,-26.864389,1.416032
8120,0.000122,-39.147706,-0.895546
8121,0.001693,-27.713941,-1.642491
8122,0.000050,-42.991344,-0.621299
8123,0.000352,-34.531364,1.275635
8124,0.001233,-29.088667,0.504335
8125,0.002006,-26.975726,0.388440
8126,0.000748,-31.259276,0.420989
8127,0.000018,-47.444970,0.081471
8128,0.006373,-21.956472,-2.635453
8129,0.000057,-42.414538,-1.570952
8130,0.000014,-48.518059,0.566623
8131,0.000119,-39.255347,-0.258442
8132,0.000001,-60.215141,0.316989
8133,0.003461,-24.607599,0.142081
8134,0.000000,-83.067050,0.874541
8135,0.000013,-48.944866,1.840751
8136,0.000478,-33.206504,-1.413072
8137,0.000632,-31.991004,0.955012
8138,0.000085,-40.719427,0.419152
8139,0.002410,-26.180227,-1.581383
8140,0.000152,-38.188836,0.681331
8141,0.001619,-27.907099,-0.735263
8142,0.006001,-22.217529,-1.218838
8143,0.000384,-34.161158,0.174434
8144,0.004401,-23.564080,1.697967
8145,0.000176,-37.533931,0.764003
8146,0.000094,-40.260459,-0.070032
8147,0.001172,-29.310916,0.618363
8148,0.000008,-50.979191,1.115628
8149,0.000011,-49.394424,1.439654
8150,0.000148,-38.289966,0.057008
8151,0.001832,-27.370217,0.686485
8152,0.000608,-32.158633,-0.515971
8153,0.001065,-29.725276,-1.512383
8154,0.001107,-29.559044,-0.993836
8155,0.000001,-59.462047,-0.903338
8156,0.000146,-38.370796,0.394661
8157,0.000058,-42.356975,-0.156683
8158,0.000004,-53.536671,-0.244670
8159,0.000231,-36.355405,-0.346111
8160,0.000000,-71.582158,-0.444846
8161,0.000332,-34.793588,0.120637
8162,0.001652,-27.820912,1.496574
8163,0.000306,-35.146929,0.572996
8164,0.000019,-47.318581,-0.199968
8165,0.000061,-42.141327,0.061141
8166,0.000012,-49.257830,0.278604
8167,0.005014,-22.997922,-2.495174
8168,0.000146,-38.347606,-0.319586
8169,0.000249,-36.032028,-1.633268
8170,0.000011,-49.574550,0.154026
8171,0.000154,-38.113575,-0.103808
8172,0.000294,-35.316185,-1.940926
8173,0.000462,-33.353339,-0.295229
8174,0.004117,-23.854577,0.838224
8175,0.000017,-47.684046,1.529723
8176,0.000019,-47.277990,-0.422703
8177,0.002186,-26.602613,0.169373
8178,0.000539,-32.680698,-0.882728
8179,0.001447,-28.394013,-0.640183
8180,0.001355,-28.681869,-1.184466
8181,0.002522,-25.982872,1.218002
8182,0.000782,-31.066595,-0.646440
8183,0.000003,-55.484101,-0.787698
8184,0.000220,-36.580465,-0.439764
8185,0.000962,-30.169868,-2.653484
8186,0.001637,-27.858919,-0.177325
8187,0.001413,-28.497958,0.277105
8188,0.000540,-32.679514,0.823382
8189,0.000265,-35.766151,-0.664831
8190,0.001802,-27.441395,-0.640542
8191,0.000105,-39.772842,0.279765
8192,0.000058,-42.399259,-0.546614
8193,0.000312,-35.064826,0.002969
8194,0.000052,-42.819515,-1.098651
8195,0.000088,-40.543140,-0.731134
8196,0.000050,-42.983933,0.970744
8197,0.000566,-32.470077,1.160825
8198,0.000040,-43.975406,1.042643
8199,0.000508,-32.940048,0.151919
8200,0.000063,-41.973608,-0.149235
8201,0.001034,-29.855211,-0.254690
8202,0.000117,-39.307878,-0.179041
8203,0.000001,-62.669947,0.178746
8204,0.000383,-34.171294,-1.042645
8205,0.000061,-42.162607,-0.100894
8206,0.000015,-48.221966,-0.015413
8207,0.000342,-34.663927,1.167409
8208,0.000150,-38.245685,-0.239950
8209,0.000560,-32.515023,0.420128
8210,0.001037,-29.842515,2.074020
8211,0.000585,-32.325183,-0.792507
8212,0.000473,-33.255227,0.238965
8213,0.000245,-36.100749,-0.341158
8214,0.000377,-34.238264,0.235957
8215,0.001026,-29.890105,0.152217
8216,0.000919,-30.366016,-0.227798
8217,0.000241,-36.183543,-0.722899
8218,0.000037,-44.264899,-0.460487
8219,0.001453,-28.378573,-1.162175
8220,0.000995,-30.022341,-1.629411
